municipality,year,population
Esbjerg,2018,116014.75
Esbjerg,2019,115637.5
Esbjerg,2020,115572.0
Esbjerg,2021,115538.75
Esbjerg,2022,115654.75
Esbjerg,2023,115700.25
Faaborg-Midtfyn,2008,52054.5
Faaborg-Midtfyn,2009,52090.5
Faaborg-Midtfyn,2010,51985.75
Faaborg-Midtfyn,2011,51761.5
Faaborg-Midtfyn,2012,51546.5
Faaborg-Midtfyn,2013,51267.25
Faaborg-Midtfyn,2014,51034.5
Faaborg-Midtfyn,2015,51072.0
Faaborg-Midtfyn,2016,51284.0
Faaborg-Midtfyn,2017,51421.5
Faaborg-Midtfyn,2018,51636.25
Faaborg-Midtfyn,2019,51734.5
Faaborg-Midtfyn,2020,51552.0
Faaborg-Midtfyn,2021,51724.25
Faaborg-Midtfyn,2022,52004.25
Faaborg-Midtfyn,2023,52234.75
Fanø,2008,3212.75
Fanø,2009,3221.75
Fanø,2010,3225.0
Fanø,2011,3222.75
Fanø,2012,3239.75
Fanø,2013,3245.0
Fanø,2014,3263.25
Fanø,2015,3273.75
Fanø,2016,3322.25
Fanø,2017,3366.0
Fanø,2018,3415.0
Fanø,2019,3445.5
Fanø,2020,3475.0
Fanø,2021,3448.0
Fanø,2022,3429.25
Fanø,2023,3402.75
Favrskov,2008,45838.5
Favrskov,2009,46336.0
Favrskov,2010,46658.75
Favrskov,2011,46995.75
Favrskov,2012,47158.75
Favrskov,2013,47077.75
Favrskov,2014,47244.5
Favrskov,2015,47570.0
Favrskov,2016,47755.25
Favrskov,2017,48042.25
Favrskov,2018,48300.75
Favrskov,2019,48367.75
Favrskov,2020,48374.75
Favrskov,2021,48562.5
Favrskov,2022,49079.75
Favrskov,2023,49367.5
Faxe,2008,35455.75
Faxe,2009,35424.5
Faxe,2010,35336.0
Faxe,2011,35240.5
Faxe,2012,35148.75
Faxe,2013,35095.25
Faxe,2014,35143.5
Faxe,2015,35372.0
Faxe,2016,35703.75
Faxe,2017,36026.25
Faxe,2018,36290.0
Faxe,2019,36545.5
Faxe,2020,36596.25
Faxe,2021,36889.25
Faxe,2022,37199.75
Faxe,2023,37513.75
Fredensborg,2008,39223.75
Fredensborg,2009,39255.5
Fredensborg,2010,39218.75
Fredensborg,2011,39443.5
Fredensborg,2012,39541.0
Fredensborg,2013,39472.75
Fredensborg,2014,39661.75
Fredensborg,2015,39914.25
Fredensborg,2016,40228.75
Fredensborg,2017,40598.5
Fredensborg,2018,40784.5
Fredensborg,2019,40840.25
Fredensborg,2020,40920.5
Fredensborg,2021,41071.0
Fredensborg,2022,41476.25
Fredensborg,2023,41758.75
Fredericia,2008,49503.25
Fredericia,2009,49779.5
Fredericia,2010,50015.0
Fredericia,2011,50153.75
Fredericia,2012,50250.75
Fredericia,2013,50368.5
Fredericia,2014,50370.25
Fredericia,2015,50541.75
Fredericia,2016,50776.0
Fredericia,2017,50992.5
Fredericia,2018,51388.5
Fredericia,2019,51426.5
Fredericia,2020,51363.0
Fredericia,2021,51425.5
Fredericia,2022,51839.25
Fredericia,2023,52338.5
Frederiksberg,2008,94054.5
Frederiksberg,2009,95685.75
Frederiksberg,2010,97598.0
Frederiksberg,2011,99358.25
Frederiksberg,2012,100904.25
Frederiksberg,2013,102261.25
Frederiksberg,2014,102865.5
Frederiksberg,2015,103800.5
Frederiksberg,2016,104597.75
Frederiksberg,2017,104953.0
Frederiksberg,2018,104403.0
Frederiksberg,2019,104224.5
Frederiksberg,2020,104267.0
Frederiksberg,2021,103420.75
Frederiksberg,2022,104110.75
Frederiksberg,2023,104872.75
Frederikshavn,2008,62679.75
Frederikshavn,2009,62350.5
Frederikshavn,2010,61851.25
Frederikshavn,2011,61495.25
Frederikshavn,2012,61017.0
Frederikshavn,2013,60671.0
Frederikshavn,2014,60465.25
Frederikshavn,2015,60337.5
Frederikshavn,2016,60366.5
