OMRÅDE,ALDER,KØN,TID,INDHOLD
Holbæk,Alder i alt,I alt,2009,4.4
Faxe,Alder i alt,I alt,2009,4.9
Kalundborg,Alder i alt,I alt,2009,4.5
Ringsted,Alder i alt,I alt,2009,4.4
Slagelse,Alder i alt,I alt,2009,5.6
Randers,Alder i alt,I alt,2007,3.3
Silkeborg,Alder i alt,I alt,2007,2.8
Samsø,Alder i alt,I alt,2007,5.4
Skanderborg,Alder i alt,I alt,2007,2.4
Aarhus,Alder i alt,I alt,2007,3.9
Ikast-Brande,Alder i alt,I alt,2007,3.0
Ringkøbing-Skjern,Alder i alt,I alt,2007,1.8
Hedensted,Alder i alt,I alt,2007,1.6
Morsø,Alder i alt,I alt,2007,3.1
Skive,Alder i alt,I alt,2007,2.4
Thisted,Alder i alt,I alt,2007,2.2
Viborg,Alder i alt,I alt,2007,2.3
Brønderslev,Alder i alt,I alt,2007,4.9
Frederikshavn,Alder i alt,I alt,2007,5.7
Vesthimmerlands,Alder i alt,I alt,2007,3.3
Læsø,Alder i alt,I alt,2007,9.1
Stevns,Alder i alt,I alt,2009,4.7
Sorø,Alder i alt,I alt,2009,4.0
Lejre,Alder i alt,I alt,2009,2.9
Lolland,Alder i alt,I alt,2009,7.0
Næstved,Alder i alt,I alt,2009,5.3
Guldborgsund,Alder i alt,I alt,2009,5.1
Vordingborg,Alder i alt,I alt,2009,5.7
Bornholm,Alder i alt,I alt,2009,7.3
Middelfart,Alder i alt,I alt,2009,4.2
Assens,Alder i alt,I alt,2009,6.0
Faaborg-Midtfyn,Alder i alt,I alt,2009,5.2
Kerteminde,Alder i alt,I alt,2009,5.5
Nyborg,Alder i alt,I alt,2009,5.1
Odense,Alder i alt,I alt,2009,5.8
Svendborg,Alder i alt,I alt,2009,4.8
Nordfyns,Alder i alt,I alt,2009,5.7
Langeland,Alder i alt,I alt,2009,5.1
Ærø,Alder i alt,I alt,2009,4.2
Haderslev,Alder i alt,I alt,2009,4.5
Billund,Alder i alt,I alt,2009,3.3
Sønderborg,Alder i alt,I alt,2009,5.2
Tønder,Alder i alt,I alt,2009,5.0
Esbjerg,Alder i alt,I alt,2009,4.1
Fanø,Alder i alt,I alt,2009,3.4
Varde,Alder i alt,I alt,2009,3.3
Vejen,Alder i alt,I alt,2009,3.7
Aabenraa,Alder i alt,I alt,2009,5.2
Fredericia,Alder i alt,I alt,2009,5.3
Horsens,Alder i alt,I alt,2009,5.1
Kolding,Alder i alt,I alt,2009,4.3
Vejle,Alder i alt,I alt,2009,3.9
Herning,Alder i alt,I alt,2009,4.2
Holstebro,Alder i alt,I alt,2009,4.4
Lemvig,Alder i alt,I alt,2009,4.3
Struer,Alder i alt,I alt,2009,5.4
Syddjurs,Alder i alt,I alt,2009,4.4
Norddjurs,Alder i alt,I alt,2009,5.1
Favrskov,Alder i alt,I alt,2009,3.9
Odder,Alder i alt,I alt,2009,4.1
Randers,Alder i alt,I alt,2009,5.3
Silkeborg,Alder i alt,I alt,2009,4.3
Dragør,Alder i alt,I alt,2014,3.2
Gentofte,Alder i alt,I alt,2014,3.4
Gladsaxe,Alder i alt,I alt,2014,5.1
Glostrup,Alder i alt,I alt,2014,5.7
Herlev,Alder i alt,I alt,2014,5.4
Albertslund,Alder i alt,I alt,2014,7.2
Hvidovre,Alder i alt,I alt,2014,4.7
Høje-Taastrup,Alder i alt,I alt,2014,6.9
Lyngby-Taarbæk,Alder i alt,I alt,2014,3.4
Rødovre,Alder i alt,I alt,2014,5.2
Ishøj,Alder i alt,I alt,2014,9.5
Tårnby,Alder i alt,I alt,2014,5.1
Vallensbæk,Alder i alt,I alt,2014,4.8
Furesø,Alder i alt,I alt,2014,4.0
Allerød,Alder i alt,I alt,2014,2.4
Fredensborg,Alder i alt,I alt,2014,4.2
Helsingør,Alder i alt,I alt,2014,4.9
Hillerød,Alder i alt,I alt,2014,3.6
Hørsholm,Alder i alt,I alt,2014,2.9
Rudersdal,Alder i alt,I alt,2014,3.1
Egedal,Alder i alt,I alt,2014,3.2
Frederikssund,Alder i alt,I alt,2014,4.4
Greve,Alder i alt,I alt,2014,4.2
Køge,Alder i alt,I alt,2014,5.0
Halsnæs,Alder i alt,I alt,2014,5.2
Roskilde,Alder i alt,I alt,2014,4.0
Solrød,Alder i alt,I alt,2014,3.5
Gribskov,Alder i alt,I alt,2014,4.0
Odsherred,Alder i alt,I alt,2014,5.9
Holbæk,Alder i alt,I alt,2014,4.2
Faxe,Alder i alt,I alt,2014,5.1
Kalundborg,Alder i alt,I alt,2014,5.1
Ringsted,Alder i alt,I alt,2014,4.7
Slagelse,Alder i alt,I alt,2014,6.3
Stevns,Alder i alt,I alt,2014,4.9
Sorø,Alder i alt,I alt,2014,4.7
Lejre,Alder i alt,I alt,2014,3.1
Lolland,Alder i alt,I alt,2014,7.4
Næstved,Alder i alt,I alt,2014,5.3
Guldborgsund,Alder i alt,I alt,2014,5.8
Vordingborg,Alder i alt,I alt,2014,5.4
Bornholm,Alder i alt,I alt,2014,6.3
Middelfart,Alder i alt,I alt,2014,3.5
Assens,Alder i alt,I alt,2014,5.3
Faaborg-Midtfyn,Alder i alt,I alt,2014,5.1
Kerteminde,Alder i alt,I alt,2014,5.0
Nyborg,Alder i alt,I alt,2014,5.2
Odense,Alder i alt,I alt,2014,6.4
Svendborg,Alder i alt,I alt,2014,5.7
Nordfyns,Alder i alt,I alt,2014,5.0
Langeland,Alder i alt,I alt,2014,6.0
Ærø,Alder i alt,I alt,2014,4.6
Haderslev,Alder i alt,I alt,2014,4.8
Billund,Alder i alt,I alt,2014,3.5
Sønderborg,Alder i alt,I alt,2014,4.8
Tønder,Alder i alt,I alt,2014,4.9
Esbjerg,Alder i alt,I alt,2014,4.5
Fanø,Alder i alt,I alt,2014,4.0
Varde,Alder i alt,I alt,2014,3.1
Vejen,Alder i alt,I alt,2014,3.9
Aabenraa,Alder i alt,I alt,2014,5.2
Fredericia,Alder i alt,I alt,2014,5.4
Horsens,Alder i alt,I alt,2014,4.5
Kolding,Alder i alt,I alt,2014,4.5
Vejle,Alder i alt,I alt,2014,4.2
Herning,Alder i alt,I alt,2014,4.2
Holstebro,Alder i alt,I alt,2014,3.5
Struer,Alder i alt,I alt,2008,2.4
Syddjurs,Alder i alt,I alt,2008,2.5
Norddjurs,Alder i alt,I alt,2008,2.9
Favrskov,Alder i alt,I alt,2008,1.7
Odder,Alder i alt,I alt,2008,2.0
Randers,Alder i alt,I alt,2008,2.3
Silkeborg,Alder i alt,I alt,2008,1.9
Samsø,Alder i alt,I alt,2008,3.8
Skanderborg,Alder i alt,I alt,2008,1.5
Aarhus,Alder i alt,I alt,2008,2.6
Ikast-Brande,Alder i alt,I alt,2008,2.4
Ringkøbing-Skjern,Alder i alt,I alt,2008,1.4
Hedensted,Alder i alt,I alt,2008,1.0
Morsø,Alder i alt,I alt,2008,2.8
Skive,Alder i alt,I alt,2008,2.2
Thisted,Alder i alt,I alt,2008,1.9
Viborg,Alder i alt,I alt,2008,1.6
Brønderslev,Alder i alt,I alt,2008,3.5
Frederikshavn,Alder i alt,I alt,2008,3.8
Vesthimmerlands,Alder i alt,I alt,2008,2.5
Læsø,Alder i alt,I alt,2008,6.9
Rebild,Alder i alt,I alt,2008,2.1
Mariagerfjord,Alder i alt,I alt,2008,2.5
Jammerbugt,Alder i alt,I alt,2008,3.2
Aalborg,Alder i alt,I alt,2008,3.6
Hjørring,Alder i alt,I alt,2008,3.4
Silkeborg,Alder i alt,I alt,2016,3.5
Samsø,Alder i alt,I alt,2016,4.9
Skanderborg,Alder i alt,I alt,2016,2.4
Aarhus,Alder i alt,I alt,2016,4.3
Ikast-Brande,Alder i alt,I alt,2016,3.7
Ringkøbing-Skjern,Alder i alt,I alt,2016,2.5
Hedensted,Alder i alt,I alt,2016,2.5
Morsø,Alder i alt,I alt,2016,3.3
Skive,Alder i alt,I alt,2016,2.9
Thisted,Alder i alt,I alt,2016,3.1
Viborg,Alder i alt,I alt,2016,3.3
Brønderslev,Alder i alt,I alt,2016,4.1
Frederikshavn,Alder i alt,I alt,2016,5.0
Vesthimmerlands,Alder i alt,I alt,2016,4.3
Læsø,Alder i alt,I alt,2016,6.7
Rebild,Alder i alt,I alt,2016,3.4
Mariagerfjord,Alder i alt,I alt,2016,4.0
Jammerbugt,Alder i alt,I alt,2016,3.8
Aalborg,Alder i alt,I alt,2016,5.3
Hjørring,Alder i alt,I alt,2016,4.3
København,Alder i alt,I alt,2016,5.0
Frederiksberg,Alder i alt,I alt,2016,4.4
Ballerup,Alder i alt,I alt,2016,4.0
Brøndby,Alder i alt,I alt,2016,5.5
Albertslund,Alder i alt,I alt,2015,6.6
Hvidovre,Alder i alt,I alt,2015,4.3
Høje-Taastrup,Alder i alt,I alt,2015,6.4
Lyngby-Taarbæk,Alder i alt,I alt,2015,3.1
Rødovre,Alder i alt,I alt,2015,5.0
Ishøj,Alder i alt,I alt,2015,8.7
Tårnby,Alder i alt,I alt,2015,4.4
Vallensbæk,Alder i alt,I alt,2015,4.2
Furesø,Alder i alt,I alt,2015,3.6
Allerød,Alder i alt,I alt,2015,2.1
Fredensborg,Alder i alt,I alt,2015,3.8
Helsingør,Alder i alt,I alt,2015,4.5
Hillerød,Alder i alt,I alt,2015,3.2
Hørsholm,Alder i alt,I alt,2015,2.8
Rudersdal,Alder i alt,I alt,2015,2.8
Egedal,Alder i alt,I alt,2015,2.7
Frederikssund,Alder i alt,I alt,2015,3.9
Greve,Alder i alt,I alt,2015,3.7
Køge,Alder i alt,I alt,2015,4.1
Halsnæs,Alder i alt,I alt,2015,4.4
Roskilde,Alder i alt,I alt,2015,3.8
Solrød,Alder i alt,I alt,2015,3.1
Gribskov,Alder i alt,I alt,2015,3.7
Odsherred,Alder i alt,I alt,2015,5.3
Holbæk,Alder i alt,I alt,2015,4.0
Faxe,Alder i alt,I alt,2015,4.5
Kalundborg,Alder i alt,I alt,2015,4.6
Ikast-Brande,Alder i alt,I alt,2021,2.8
Ringkøbing-Skjern,Alder i alt,I alt,2021,2.2
Hedensted,Alder i alt,I alt,2021,2.2
Morsø,Alder i alt,I alt,2021,2.5
Skive,Alder i alt,I alt,2021,2.0
Thisted,Alder i alt,I alt,2021,2.6
Viborg,Alder i alt,I alt,2021,2.8
Brønderslev,Alder i alt,I alt,2021,3.5
Frederikshavn,Alder i alt,I alt,2021,4.3
Vesthimmerlands,Alder i alt,I alt,2021,3.4
Læsø,Alder i alt,I alt,2021,7.0
Rebild,Alder i alt,I alt,2021,3.0
Mariagerfjord,Alder i alt,I alt,2021,3.3
Jammerbugt,Alder i alt,I alt,2021,3.2
Aalborg,Alder i alt,I alt,2021,4.4
København,Alder i alt,I alt,2021,4.8
Frederiksberg,Alder i alt,I alt,2021,4.0
Ballerup,Alder i alt,I alt,2021,3.5
Brøndby,Alder i alt,I alt,2021,6.3
Hjørring,Alder i alt,I alt,2021,3.9
Dragør,Alder i alt,I alt,2021,3.3
Gentofte,Alder i alt,I alt,2021,3.1
Gladsaxe,Alder i alt,I alt,2021,3.2
Samsø,Alder i alt,I alt,2009,4.7
Skanderborg,Alder i alt,I alt,2009,3.4
Aarhus,Alder i alt,I alt,2009,4.4
Ikast-Brande,Alder i alt,I alt,2009,5.6
Ringkøbing-Skjern,Alder i alt,I alt,2009,4.0
Hedensted,Alder i alt,I alt,2009,4.1
Morsø,Alder i alt,I alt,2009,6.3
Skive,Alder i alt,I alt,2009,5.8
Thisted,Alder i alt,I alt,2009,4.2
Viborg,Alder i alt,I alt,2009,4.2
Brønderslev,Alder i alt,I alt,2009,6.2
Frederikshavn,Alder i alt,I alt,2009,6.4
Vesthimmerlands,Alder i alt,I alt,2009,5.5
Læsø,Alder i alt,I alt,2009,8.4
Rebild,Alder i alt,I alt,2009,5.0
Mariagerfjord,Alder i alt,I alt,2009,5.5
Jammerbugt,Alder i alt,I alt,2009,5.7
Aalborg,Alder i alt,I alt,2009,5.6
Hjørring,Alder i alt,I alt,2009,6.1
Rebild,Alder i alt,I alt,2007,3.2
Mariagerfjord,Alder i alt,I alt,2007,3.3
Jammerbugt,Alder i alt,I alt,2007,4.9
Aalborg,Alder i alt,I alt,2007,5.1
Hjørring,Alder i alt,I alt,2007,5.1
København,Alder i alt,I alt,2007,5.8
Frederiksberg,Alder i alt,I alt,2007,4.0
Ballerup,Alder i alt,I alt,2007,2.5
Brøndby,Alder i alt,I alt,2007,3.5
Dragør,Alder i alt,I alt,2007,2.3
Gentofte,Alder i alt,I alt,2007,2.7
Gladsaxe,Alder i alt,I alt,2007,3.2
Glostrup,Alder i alt,I alt,2007,3.4
Herlev,Alder i alt,I alt,2007,3.6
Albertslund,Alder i alt,I alt,2007,4.8
Hvidovre,Alder i alt,I alt,2007,3.0
Høje-Taastrup,Alder i alt,I alt,2007,3.9
Lyngby-Taarbæk,Alder i alt,I alt,2007,2.3
Rødovre,Alder i alt,I alt,2007,3.3
Ishøj,Alder i alt,I alt,2007,6.0
Tårnby,Alder i alt,I alt,2007,3.5
Vallensbæk,Alder i alt,I alt,2007,2.6
Furesø,Alder i alt,I alt,2007,3.0
Allerød,Alder i alt,I alt,2007,1.6
Fredensborg,Alder i alt,I alt,2007,3.0
Helsingør,Alder i alt,I alt,2007,3.3
Hillerød,Alder i alt,I alt,2007,2.2
Hørsholm,Alder i alt,I alt,2007,1.9
Rudersdal,Alder i alt,I alt,2007,2.3
Egedal,Alder i alt,I alt,2007,1.5
Frederikssund,Alder i alt,I alt,2007,2.1
Dragør,Alder i alt,I alt,2016,2.6
Gentofte,Alder i alt,I alt,2016,2.8
Gladsaxe,Alder i alt,I alt,2016,3.9
Glostrup,Alder i alt,I alt,2016,4.9
Herlev,Alder i alt,I alt,2016,3.9
Albertslund,Alder i alt,I alt,2016,6.3
Hvidovre,Alder i alt,I alt,2016,3.9
Høje-Taastrup,Alder i alt,I alt,2016,5.7
Lyngby-Taarbæk,Alder i alt,I alt,2016,2.8
Rødovre,Alder i alt,I alt,2016,4.5
Ishøj,Alder i alt,I alt,2016,7.7
Tårnby,Alder i alt,I alt,2016,3.6
Vallensbæk,Alder i alt,I alt,2016,3.8
Furesø,Alder i alt,I alt,2016,2.9
Allerød,Alder i alt,I alt,2016,2.0
Fredensborg,Alder i alt,I alt,2016,3.3
Helsingør,Alder i alt,I alt,2016,3.9
Hillerød,Alder i alt,I alt,2016,3.0
Hørsholm,Alder i alt,I alt,2016,2.4
Rudersdal,Alder i alt,I alt,2016,2.6
Egedal,Alder i alt,I alt,2016,2.7
Frederikssund,Alder i alt,I alt,2016,3.3
Greve,Alder i alt,I alt,2016,3.3
Køge,Alder i alt,I alt,2016,3.7
Halsnæs,Alder i alt,I alt,2016,4.3
Roskilde,Alder i alt,I alt,2016,3.7
Solrød,Alder i alt,I alt,2016,2.7
Gribskov,Alder i alt,I alt,2016,3.4
Odsherred,Alder i alt,I alt,2016,4.9
Holbæk,Alder i alt,I alt,2016,3.6
Faxe,Alder i alt,I alt,2016,4.3
Kalundborg,Alder i alt,I alt,2016,4.1
Ringsted,Alder i alt,I alt,2016,4.1
Slagelse,Alder i alt,I alt,2016,4.7
Stevns,Alder i alt,I alt,2016,3.5
Sorø,Alder i alt,I alt,2016,3.6
Lejre,Alder i alt,I alt,2016,3.1
Lolland,Alder i alt,I alt,2016,5.7
Næstved,Alder i alt,I alt,2016,4.7
Guldborgsund,Alder i alt,I alt,2016,4.6
Vordingborg,Alder i alt,I alt,2016,4.6
Bornholm,Alder i alt,I alt,2016,4.6
Middelfart,Alder i alt,I alt,2016,3.2
Assens,Alder i alt,I alt,2016,5.0
Faaborg-Midtfyn,Alder i alt,I alt,2016,4.4
Kerteminde,Alder i alt,I alt,2016,4.5
Nyborg,Alder i alt,I alt,2016,4.1
Odense,Alder i alt,I alt,2016,5.9
Svendborg,Alder i alt,I alt,2016,4.6
Nordfyns,Alder i alt,I alt,2016,4.4
Langeland,Alder i alt,I alt,2016,4.8
Ærø,Alder i alt,I alt,2016,3.9
Haderslev,Alder i alt,I alt,2016,3.8
Billund,Alder i alt,I alt,2016,2.6
Sønderborg,Alder i alt,I alt,2016,4.1
Tønder,Alder i alt,I alt,2016,3.3
Esbjerg,Alder i alt,I alt,2016,3.8
Fanø,Alder i alt,I alt,2016,3.9
Varde,Alder i alt,I alt,2016,2.6
Vejen,Alder i alt,I alt,2016,3.2
Aabenraa,Alder i alt,I alt,2016,4.0
Fredericia,Alder i alt,I alt,2016,4.7
Horsens,Alder i alt,I alt,2016,3.9
Kolding,Alder i alt,I alt,2016,3.6
Vejle,Alder i alt,I alt,2016,3.3
Herning,Alder i alt,I alt,2016,3.4
Holstebro,Alder i alt,I alt,2016,3.2
Glostrup,Alder i alt,I alt,2021,4.1
Herlev,Alder i alt,I alt,2021,3.4
Albertslund,Alder i alt,I alt,2021,5.2
Hvidovre,Alder i alt,I alt,2021,3.9
Høje-Taastrup,Alder i alt,I alt,2021,5.1
Lyngby-Taarbæk,Alder i alt,I alt,2021,2.9
Rødovre,Alder i alt,I alt,2021,4.6
Ishøj,Alder i alt,I alt,2021,6.3
Tårnby,Alder i alt,I alt,2021,4.3
Vallensbæk,Alder i alt,I alt,2021,3.7
Furesø,Alder i alt,I alt,2021,2.7
Allerød,Alder i alt,I alt,2021,2.2
Fredensborg,Alder i alt,I alt,2021,3.0
Helsingør,Alder i alt,I alt,2021,3.4
Hillerød,Alder i alt,I alt,2021,2.7
Hørsholm,Alder i alt,I alt,2021,3.0
Rudersdal,Alder i alt,I alt,2021,2.6
Egedal,Alder i alt,I alt,2021,2.6
Frederikssund,Alder i alt,I alt,2021,2.7
Greve,Alder i alt,I alt,2021,3.1
Køge,Alder i alt,I alt,2021,3.2
Halsnæs,Alder i alt,I alt,2021,3.3
Roskilde,Alder i alt,I alt,2021,3.1
Solrød,Alder i alt,I alt,2021,2.5
Gribskov,Alder i alt,I alt,2021,2.6
Odsherred,Alder i alt,I alt,2021,3.6
Holbæk,Alder i alt,I alt,2021,2.8
Faxe,Alder i alt,I alt,2021,3.3
Kalundborg,Alder i alt,I alt,2021,3.4
Ringsted,Alder i alt,I alt,2021,3.0
Slagelse,Alder i alt,I alt,2021,4.0
Stevns,Alder i alt,I alt,2021,3.2
Sorø,Alder i alt,I alt,2021,3.2
Lejre,Alder i alt,I alt,2021,2.8
Lolland,Alder i alt,I alt,2021,4.5
Næstved,Alder i alt,I alt,2021,3.5
Guldborgsund,Alder i alt,I alt,2021,3.9
Vordingborg,Alder i alt,I alt,2021,3.8
Bornholm,Alder i alt,I alt,2021,3.6
Middelfart,Alder i alt,I alt,2021,2.7
Assens,Alder i alt,I alt,2021,2.9
Faaborg-Midtfyn,Alder i alt,I alt,2021,3.3
Kerteminde,Alder i alt,I alt,2021,3.3
Nyborg,Alder i alt,I alt,2021,3.4
Odense,Alder i alt,I alt,2021,4.2
Svendborg,Alder i alt,I alt,2021,3.7
Nordfyns,Alder i alt,I alt,2021,3.6
Langeland,Alder i alt,I alt,2021,4.6
Ærø,Alder i alt,I alt,2021,3.1
Haderslev,Alder i alt,I alt,2021,3.0
Billund,Alder i alt,I alt,2021,2.7
Sønderborg,Alder i alt,I alt,2021,3.0
Tønder,Alder i alt,I alt,2021,2.8
Esbjerg,Alder i alt,I alt,2021,3.2
Fanø,Alder i alt,I alt,2021,4.5
Varde,Alder i alt,I alt,2021,2.4
Vejen,Alder i alt,I alt,2021,2.2
Aabenraa,Alder i alt,I alt,2021,2.9
Fredericia,Alder i alt,I alt,2021,3.9
Horsens,Alder i alt,I alt,2021,3.0
Kolding,Alder i alt,I alt,2021,3.0
Vejle,Alder i alt,I alt,2021,3.0
Herning,Alder i alt,I alt,2021,2.7
Holstebro,Alder i alt,I alt,2021,2.3
Lemvig,Alder i alt,I alt,2021,2.5
Struer,Alder i alt,I alt,2021,3.1
Syddjurs,Alder i alt,I alt,2021,3.3
Norddjurs,Alder i alt,I alt,2021,3.5
Greve,Alder i alt,I alt,2007,2.4
Køge,Alder i alt,I alt,2007,3.2
Halsnæs,Alder i alt,I alt,2007,3.0
Roskilde,Alder i alt,I alt,2007,2.3
Solrød,Alder i alt,I alt,2007,2.6
Gribskov,Alder i alt,I alt,2007,2.6
Odsherred,Alder i alt,I alt,2007,3.6
Holbæk,Alder i alt,I alt,2007,3.3
Faxe,Alder i alt,I alt,2007,3.1
Kalundborg,Alder i alt,I alt,2007,3.8
Ringsted,Alder i alt,I alt,2007,3.1
Slagelse,Alder i alt,I alt,2007,4.6
Stevns,Alder i alt,I alt,2007,3.3
Sorø,Alder i alt,I alt,2007,3.0
Lejre,Alder i alt,I alt,2007,1.9
Lolland,Alder i alt,I alt,2007,6.2
Næstved,Alder i alt,I alt,2007,3.5
Guldborgsund,Alder i alt,I alt,2007,4.1
Vordingborg,Alder i alt,I alt,2007,4.4
Bornholm,Alder i alt,I alt,2007,7.3
København,Alder i alt,I alt,2009,6.3
Frederiksberg,Alder i alt,I alt,2009,4.3
Ballerup,Alder i alt,I alt,2009,3.6
Brøndby,Alder i alt,I alt,2009,4.9
Dragør,Alder i alt,I alt,2009,2.8
Gentofte,Alder i alt,I alt,2009,2.6
Gladsaxe,Alder i alt,I alt,2009,3.9
Middelfart,Alder i alt,I alt,2007,2.9
Assens,Alder i alt,I alt,2007,3.7
Faaborg-Midtfyn,Alder i alt,I alt,2007,3.6
Kerteminde,Alder i alt,I alt,2007,3.6
Nyborg,Alder i alt,I alt,2007,3.4
Odense,Alder i alt,I alt,2007,4.9
Svendborg,Alder i alt,I alt,2007,4.7
Nordfyns,Alder i alt,I alt,2007,3.8
Langeland,Alder i alt,I alt,2007,5.3
Ærø,Alder i alt,I alt,2007,4.1
Haderslev,Alder i alt,I alt,2007,3.3
Billund,Alder i alt,I alt,2007,1.9
Sønderborg,Alder i alt,I alt,2007,2.9
Tønder,Alder i alt,I alt,2007,3.6
Esbjerg,Alder i alt,I alt,2007,2.7
Fanø,Alder i alt,I alt,2007,2.8
Glostrup,Alder i alt,I alt,2009,4.6
Herlev,Alder i alt,I alt,2009,4.4
Albertslund,Alder i alt,I alt,2009,5.9
Hvidovre,Alder i alt,I alt,2009,3.9
Høje-Taastrup,Alder i alt,I alt,2009,5.2
Lyngby-Taarbæk,Alder i alt,I alt,2009,2.6
Rødovre,Alder i alt,I alt,2009,4.2
Ishøj,Alder i alt,I alt,2009,7.4
Tårnby,Alder i alt,I alt,2009,4.7
Lemvig,Alder i alt,I alt,2014,3.3
Struer,Alder i alt,I alt,2014,4.9
Syddjurs,Alder i alt,I alt,2014,4.1
Norddjurs,Alder i alt,I alt,2014,5.1
Favrskov,Alder i alt,I alt,2014,3.4
Odder,Alder i alt,I alt,2014,3.5
Randers,Alder i alt,I alt,2014,5.4
Silkeborg,Alder i alt,I alt,2014,4.3
Samsø,Alder i alt,I alt,2014,5.9
Skanderborg,Alder i alt,I alt,2014,3.0
Aarhus,Alder i alt,I alt,2014,4.9
Ikast-Brande,Alder i alt,I alt,2014,4.8
Ringkøbing-Skjern,Alder i alt,I alt,2014,3.5
Hedensted,Alder i alt,I alt,2014,3.3
Morsø,Alder i alt,I alt,2014,4.7
Skive,Alder i alt,I alt,2014,3.5
Thisted,Alder i alt,I alt,2014,3.9
Viborg,Alder i alt,I alt,2014,4.1
Brønderslev,Alder i alt,I alt,2014,4.7
Frederikshavn,Alder i alt,I alt,2014,5.4
Vesthimmerlands,Alder i alt,I alt,2014,5.2
Læsø,Alder i alt,I alt,2014,7.5
Rebild,Alder i alt,I alt,2014,3.9
Mariagerfjord,Alder i alt,I alt,2014,4.9
Jammerbugt,Alder i alt,I alt,2014,4.7
Aalborg,Alder i alt,I alt,2014,6.0
Hjørring,Alder i alt,I alt,2014,5.3
Lemvig,Alder i alt,I alt,2016,3.1
Struer,Alder i alt,I alt,2016,3.6
Syddjurs,Alder i alt,I alt,2016,3.2
Norddjurs,Alder i alt,I alt,2016,4.0
Favrskov,Alder i alt,I alt,2016,2.6
Odder,Alder i alt,I alt,2016,3.1
Randers,Alder i alt,I alt,2016,4.2
Hørsholm,Alder i alt,I alt,2012,3.4
Rudersdal,Alder i alt,I alt,2012,3.5
Egedal,Alder i alt,I alt,2012,3.8
Frederikssund,Alder i alt,I alt,2012,5.2
Greve,Alder i alt,I alt,2012,4.8
Køge,Alder i alt,I alt,2012,6.4
Halsnæs,Alder i alt,I alt,2012,7.0
Roskilde,Alder i alt,I alt,2012,4.5
Solrød,Alder i alt,I alt,2012,4.4
Gribskov,Alder i alt,I alt,2012,5.0
Odsherred,Alder i alt,I alt,2012,6.9
Holbæk,Alder i alt,I alt,2012,5.2
Faxe,Alder i alt,I alt,2012,6.6
Kalundborg,Alder i alt,I alt,2012,6.8
Ringsted,Alder i alt,I alt,2012,6.2
Slagelse,Alder i alt,I alt,2012,8.2
Stevns,Alder i alt,I alt,2012,6.1
Sorø,Alder i alt,I alt,2012,5.9
Lejre,Alder i alt,I alt,2012,3.9
Lolland,Alder i alt,I alt,2012,9.8
Næstved,Alder i alt,I alt,2012,6.7
Guldborgsund,Alder i alt,I alt,2012,6.6
Vordingborg,Alder i alt,I alt,2012,6.4
Bornholm,Alder i alt,I alt,2012,7.4
Middelfart,Alder i alt,I alt,2012,5.2
Assens,Alder i alt,I alt,2012,7.2
Faaborg-Midtfyn,Alder i alt,I alt,2012,6.7
Kerteminde,Alder i alt,I alt,2012,8.6
Nyborg,Alder i alt,I alt,2012,7.0
Odense,Alder i alt,I alt,2012,7.9
Svendborg,Alder i alt,I alt,2012,7.1
Nordfyns,Alder i alt,I alt,2012,7.2
Langeland,Alder i alt,I alt,2012,8.0
Ærø,Alder i alt,I alt,2012,5.1
Haderslev,Alder i alt,I alt,2012,6.4
Billund,Alder i alt,I alt,2012,3.9
Sønderborg,Alder i alt,I alt,2012,6.1
Tønder,Alder i alt,I alt,2012,5.9
Esbjerg,Alder i alt,I alt,2012,5.5
Fanø,Alder i alt,I alt,2012,4.3
Varde,Alder i alt,I alt,2012,4.2
Vejen,Alder i alt,I alt,2012,4.8
Aabenraa,Alder i alt,I alt,2012,6.9
Fredericia,Alder i alt,I alt,2012,7.0
Horsens,Alder i alt,I alt,2012,5.9
Kolding,Alder i alt,I alt,2012,5.5
Vejle,Alder i alt,I alt,2012,5.1
Herning,Alder i alt,I alt,2012,5.5
Holstebro,Alder i alt,I alt,2012,4.9
Lemvig,Alder i alt,I alt,2012,4.8
Struer,Alder i alt,I alt,2012,6.4
Syddjurs,Alder i alt,I alt,2012,5.4
Norddjurs,Alder i alt,I alt,2012,6.4
Favrskov,Alder i alt,I alt,2012,4.5
Odder,Alder i alt,I alt,2012,4.8
Randers,Alder i alt,I alt,2012,6.2
Silkeborg,Alder i alt,I alt,2012,5.5
Samsø,Alder i alt,I alt,2012,6.3
Skanderborg,Alder i alt,I alt,2012,3.8
Aarhus,Alder i alt,I alt,2012,5.6
Favrskov,Alder i alt,I alt,2021,2.5
Odder,Alder i alt,I alt,2021,2.9
Randers,Alder i alt,I alt,2021,3.5
Silkeborg,Alder i alt,I alt,2021,2.8
Samsø,Alder i alt,I alt,2021,3.8
Skanderborg,Alder i alt,I alt,2021,2.3
Aarhus,Alder i alt,I alt,2021,4.2
København,Alder i alt,I alt,2022,3.3
Frederiksberg,Alder i alt,I alt,2022,2.8
Ballerup,Alder i alt,I alt,2022,2.2
Brøndby,Alder i alt,I alt,2022,4.1
Dragør,Alder i alt,I alt,2022,1.9
Gentofte,Alder i alt,I alt,2022,2.1
Gladsaxe,Alder i alt,I alt,2022,2.0
Glostrup,Alder i alt,I alt,2022,3.0
Herlev,Alder i alt,I alt,2022,2.2
Albertslund,Alder i alt,I alt,2022,3.3
Hvidovre,Alder i alt,I alt,2022,2.7
