OMRÅDE,ALDER,KØN,TID,INDHOLD
Roskilde,Alder i alt,I alt,2011,4.4
Solrød,Alder i alt,I alt,2011,4.3
Gribskov,Alder i alt,I alt,2011,5.1
Odsherred,Alder i alt,I alt,2011,7.0
Holbæk,Alder i alt,I alt,2011,5.3
Faxe,Alder i alt,I alt,2011,6.3
Kalundborg,Alder i alt,I alt,2011,6.4
Ringsted,Alder i alt,I alt,2011,5.9
Slagelse,Alder i alt,I alt,2011,8.0
Stevns,Alder i alt,I alt,2011,6.0
Sorø,Alder i alt,I alt,2011,5.9
Lejre,Alder i alt,I alt,2011,3.8
Lolland,Alder i alt,I alt,2011,9.7
Næstved,Alder i alt,I alt,2011,6.7
Guldborgsund,Alder i alt,I alt,2011,6.8
Vordingborg,Alder i alt,I alt,2011,6.3
Bornholm,Alder i alt,I alt,2011,7.3
Middelfart,Alder i alt,I alt,2011,5.0
Assens,Alder i alt,I alt,2011,7.1
Faaborg-Midtfyn,Alder i alt,I alt,2011,6.6
Kerteminde,Alder i alt,I alt,2011,8.3
Nyborg,Alder i alt,I alt,2011,7.1
Kolding,Alder i alt,I alt,2018,3.3
Vejle,Alder i alt,I alt,2018,3.2
Herning,Alder i alt,I alt,2018,3.5
Holstebro,Alder i alt,I alt,2018,2.6
Lemvig,Alder i alt,I alt,2018,2.8
Struer,Alder i alt,I alt,2018,3.5
Syddjurs,Alder i alt,I alt,2018,3.4
Norddjurs,Alder i alt,I alt,2018,4.4
Favrskov,Alder i alt,I alt,2018,2.5
Odder,Alder i alt,I alt,2018,3.1
Randers,Alder i alt,I alt,2018,3.9
Silkeborg,Alder i alt,I alt,2018,3.2
Samsø,Alder i alt,I alt,2018,5.4
Skanderborg,Alder i alt,I alt,2018,2.4
Aarhus,Alder i alt,I alt,2018,4.3
Ikast-Brande,Alder i alt,I alt,2018,3.6
Ringkøbing-Skjern,Alder i alt,I alt,2018,2.6
Hedensted,Alder i alt,I alt,2018,2.4
Morsø,Alder i alt,I alt,2018,3.4
Skive,Alder i alt,I alt,2018,2.9
Thisted,Alder i alt,I alt,2018,3.1
Viborg,Alder i alt,I alt,2018,3.1
Brønderslev,Alder i alt,I alt,2018,4.0
Frederikshavn,Alder i alt,I alt,2018,4.6
Vesthimmerlands,Alder i alt,I alt,2018,4.0
Læsø,Alder i alt,I alt,2018,6.3
Rebild,Alder i alt,I alt,2018,3.1
Mariagerfjord,Alder i alt,I alt,2018,3.9
