municipality,year,gini_coefficient
Slagelse,2015,24.62
Slagelse,2016,25.1
Slagelse,2017,25.41
Slagelse,2018,25.44
Slagelse,2019,25.25
Slagelse,2020,25.22
Slagelse,2021,26.0
Slagelse,2022,25.54
Slagelse,2023,24.9
Solrød,2007,25.96
Solrød,2008,25.37
Solrød,2009,23.9
Solrød,2010,24.79
Solrød,2011,25.1
Solrød,2012,25.06
Solrød,2013,24.47
Solrød,2014,26.14
Solrød,2015,26.18
Solrød,2016,27.49
Solrød,2017,26.92
Solrød,2018,26.43
Solrød,2019,28.02
Solrød,2020,27.51
Solrød,2021,27.45
Solrød,2022,26.42
Solrød,2023,27.11
Sorø,2007,23.16
Sorø,2008,27.67
Sorø,2009,23.62
Sorø,2010,25.18
Sorø,2011,23.31
Sorø,2012,24.29
Sorø,2013,23.8
Sorø,2014,24.07
Sorø,2015,24.04
Sorø,2016,24.37
Sorø,2017,24.88
Sorø,2018,24.67
Sorø,2019,25.47
Sorø,2020,24.9
Sorø,2021,25.24
Sorø,2022,24.72
Sorø,2023,25.15
Stevns,2007,23.47
Stevns,2008,24.65
Stevns,2009,23.37
Stevns,2010,22.92
Stevns,2011,23.44
Stevns,2012,23.55
Stevns,2013,23.75
Stevns,2014,23.61
Stevns,2015,24.14
Stevns,2016,24.18
Stevns,2017,24.93
Stevns,2018,25.12
Stevns,2019,24.87
Stevns,2020,24.8
Stevns,2021,24.59
Stevns,2022,24.78
Stevns,2023,25.04
Struer,2007,23.29
Struer,2008,26.84
Struer,2009,24.2
Struer,2010,24.57
Struer,2011,24.05
Struer,2012,24.39
Struer,2013,24.31
Struer,2014,23.95
Struer,2015,24.57
Struer,2016,24.75
Struer,2017,25.02
Struer,2018,24.21
Struer,2019,25.09
Struer,2020,26.37
Struer,2021,26.14
Struer,2022,26.57
Struer,2023,26.92
Svendborg,2007,24.94
Svendborg,2008,25.45
Svendborg,2009,25.06
Svendborg,2010,24.91
Svendborg,2011,27.06
Svendborg,2012,25.2
Svendborg,2013,25.5
Svendborg,2014,25.79
Svendborg,2015,26.76
Svendborg,2016,26.62
Svendborg,2017,27.0
Svendborg,2018,26.5
Svendborg,2019,27.2
Svendborg,2020,27.96
Svendborg,2021,28.42
Svendborg,2022,27.64
Svendborg,2023,27.68
Syddjurs,2007,28.06
Syddjurs,2008,25.76
Syddjurs,2009,25.45
Syddjurs,2010,25.49
Syddjurs,2011,24.46
Syddjurs,2012,24.03
Syddjurs,2013,25.05
Syddjurs,2014,26.14
Syddjurs,2015,24.54
Syddjurs,2016,25.41
Syddjurs,2017,25.2
Syddjurs,2018,25.29
Syddjurs,2019,25.41
Syddjurs,2020,25.46
Syddjurs,2021,27.51
Syddjurs,2022,25.94
Syddjurs,2023,26.33
Sønderborg,2007,23.93
Sønderborg,2008,24.89
Sønderborg,2009,32.85
Sønderborg,2010,24.39
Sønderborg,2011,26.43
Sønderborg,2012,25.32
Sønderborg,2013,25.04
Sønderborg,2014,25.77
Sønderborg,2015,25.78
Sønderborg,2016,25.45
Sønderborg,2017,26.61
Sønderborg,2018,25.89
Sønderborg,2019,26.5
Sønderborg,2020,26.23
Sønderborg,2021,26.85
Sønderborg,2022,26.76
Sønderborg,2023,28.17
Thisted,2007,26.56
Thisted,2008,29.51
Thisted,2009,26.35
Thisted,2010,26.42
Thisted,2011,25.61
Thisted,2012,24.52
Thisted,2013,24.54
Thisted,2014,24.21
Thisted,2015,24.71
Thisted,2016,24.95
Thisted,2017,25.41
Thisted,2018,24.78
Thisted,2019,25.89
Thisted,2020,26.41
Thisted,2021,26.01
Thisted,2022,27.0
Thisted,2023,27.36
Tårnby,2007,21.58
Tårnby,2008,21.99
Tårnby,2009,21.4
Tårnby,2010,22.8
Tårnby,2011,23.42
Tårnby,2012,22.77
Tårnby,2013,22.86
Tårnby,2014,22.89
Tårnby,2015,23.32
Tårnby,2016,23.66
Tårnby,2017,23.95
Tårnby,2018,23.95
Tårnby,2019,24.03
Tårnby,2020,24.19
Tårnby,2021,24.42
Tårnby,2022,23.84
Tårnby,2023,24.66
Tønder,2007,26.67
Tønder,2008,30.34
Tønder,2009,28.86
Tønder,2010,25.77
Tønder,2011,25.46
Tønder,2012,25.5
Tønder,2013,24.57
Tønder,2014,25.4
Tønder,2015,24.62
Tønder,2016,25.21
Tønder,2017,25.99
Tønder,2018,25.3
Tønder,2019,26.32
Tønder,2020,26.67
Tønder,2021,27.8
Tønder,2022,29.47
Tønder,2023,27.95
Vallensbæk,2007,22.17
Vallensbæk,2008,22.5
Vallensbæk,2009,22.11
Vallensbæk,2010,23.46
Vallensbæk,2011,23.02
Vallensbæk,2012,23.51
Vallensbæk,2013,24.18
Vallensbæk,2014,25.54
Vallensbæk,2015,25.56
Vallensbæk,2016,24.64
Vallensbæk,2017,24.99
Vallensbæk,2018,25.25
Vallensbæk,2019,25.56
Vallensbæk,2020,25.37
Vallensbæk,2021,25.66
Vallensbæk,2022,25.05
Vallensbæk,2023,25.85
Varde,2007,25.04
Varde,2008,28.33
Varde,2009,27.46
Varde,2010,25.84
Varde,2011,25.99
Varde,2012,25.37
Varde,2013,25.7
Varde,2014,25.36
Varde,2015,24.68
Varde,2016,25.12
Varde,2017,25.62
Varde,2018,24.37
Varde,2019,24.31
Varde,2020,24.63
Varde,2021,25.01
Varde,2022,26.12
Varde,2023,25.3
Vejen,2007,23.83
Vejen,2008,28.28
Vejen,2009,25.93
Vejen,2010,25.84
Vejen,2011,24.35
Vejen,2012,24.35
Vejen,2013,24.52
Vejen,2014,24.64
Vejen,2015,25.13
Vejen,2016,25.4
Vejen,2017,25.74
Vejen,2018,25.13
Vejen,2019,25.8
Vejen,2020,25.74
Vejen,2021,26.22
Vejen,2022,26.74
Vejen,2023,26.71
Vejle,2007,25.3
Vejle,2008,25.96
Vejle,2009,25.19
Vejle,2010,26.41
Vejle,2011,25.37
Vejle,2012,25.25
Vejle,2013,26.57
Vejle,2014,26.93
Vejle,2015,26.15
Vejle,2016,26.32
Vejle,2017,27.02
Vejle,2018,26.91
Vejle,2019,27.29
Vejle,2020,27.5
Vejle,2021,28.11
Vejle,2022,27.01
Vejle,2023,27.63
Vesthimmerlands,2007,25.45
Vesthimmerlands,2008,30.58
Vesthimmerlands,2009,28.33
Vesthimmerlands,2010,25.62
Vesthimmerlands,2011,24.41
Vesthimmerlands,2012,24.15
Vesthimmerlands,2013,24.02
Vesthimmerlands,2014,24.05
Vesthimmerlands,2015,24.15
Vesthimmerlands,2016,23.94
Vesthimmerlands,2017,24.38
Vesthimmerlands,2018,24.84
Vesthimmerlands,2019,25.4
Vesthimmerlands,2020,26.04
Vesthimmerlands,2021,27.37
Vesthimmerlands,2022,27.48
Vesthimmerlands,2023,26.09
Viborg,2007,24.18
Viborg,2008,26.41
Viborg,2009,25.29
Viborg,2010,24.72
Viborg,2011,24.41
Viborg,2012,23.81
Viborg,2013,24.14
Viborg,2014,24.24
Viborg,2015,24.57
Viborg,2016,25.05
Viborg,2017,25.84
Viborg,2018,25.33
Viborg,2019,25.91
Viborg,2020,26.33
Viborg,2021,26.33
Viborg,2022,25.99
Viborg,2023,25.47
Vordingborg,2007,23.86
Vordingborg,2008,26.8
Vordingborg,2009,25.23
Vordingborg,2010,24.32
Vordingborg,2011,24.74
Vordingborg,2012,23.94
Vordingborg,2013,23.81
Vordingborg,2014,24.36
Vordingborg,2015,25.34
Vordingborg,2016,25.43
Vordingborg,2017,25.82
Vordingborg,2018,25.7
Vordingborg,2019,25.7
Vordingborg,2020,25.79
Vordingborg,2021,25.84
Vordingborg,2022,26.82
Vordingborg,2023,25.54
Ærø,2007,25.58
Ærø,2008,24.6
Ærø,2009,24.99
Ærø,2010,24.89
Ærø,2011,24.44
Ærø,2012,25.36
Ærø,2013,27.17
Ærø,2014,25.18
Ærø,2015,26.34
Ærø,2016,26.35
Ærø,2017,25.24
Ærø,2018,26.16
Ærø,2019,24.77
Ærø,2020,25.61
Ærø,2021,26.63
Ærø,2022,27.02
Ærø,2023,27.67
